,airline,model1,model1_linear,model2,vns
0,UAL,6776283.800000002,6776283.8,6799167.200000002,5.803015e+06
1,ASL,403136.8000000001,403136.8000000001,420029.19999999995,2.511323e+05
2,DAL,7873479.3,7873479.300000001,7891833.3,6.802938e+06
3,AUI,1362517.833333333,1362517.8333333326,1363485.4333333336,8.229285e+05
