,airline,total_flights,model1,model1_linear,model2,vns
0,NVR,14,0.11319245899999997,0.04708023199999989,0.030946621000000007,0.6529154209999999
1,RSY,14,0.018808917999999952,0.03162807100000009,0.019615254000000082,0.6177988409999999
2,ANA,15,0.02199943499999968,0.06236321999999994,0.02265907700000014,0.6198929069999997
3,KAL,18,0.04195731499999944,0.06740355300000012,0.06138574999999946,0.978787198
4,ASL,112,5.601017238000001,5.3314313869999985,5.325187055000004,16.316582488999998
5,DAL,133,3.0229238099999947,3.707761738000002,2.989390372999999,9.78139684700001
6,UAL,137,2.616162834000008,2.6371835489999995,1.8354445079999948,6.425066174999998
7,THY,1274,8236.452151380001,786.2228134640002,,382.75245650399995
