,airline,model1,model1_linear,model2,vns
0,KAL,1798549.2000000002,1798549.1999999997,1798549.2000000002,1.566098e+06
1,AIC,1057532.5666666667,1057532.5666666667,1086922.2666666666,6.432717e+05
2,CSN,692213.3999999999,692213.3999999999,692213.4,6.614805e+05
3,RSY,410760.23333333334,410760.23333333334,410760.23333333334,3.966698e+05
4,HAY,203101.60000000003,203101.60000000003,203101.60000000003,1.679994e+05
5,WRC,175000.43333333335,175000.43333333335,175000.43333333335,1.654632e+05
6,KGL,108798.79999999999,108798.8,112823.79999999999,6.307667e+04
