AircraftType,MTOW,AssignedAircraftType
F18,23.67,AT76
AS55,2.53,AT43
FK11,1.1,AT43
S58P,6.4,AT43
A109,2.99,AT43
AS65,4.23,AT43
NORS,3.4,AT43
VAN'S,0.79,AT43
A139,6.65,AT43
S360,3.0,AT43
GLASER,0.6,AT43
LAVERDA,0.82,AT43
SKAR,0.7,AT43
EXTRA,1.35,AT43
ACAR,1.0,AT43
PHILIPS,1.1,AT43
PUMA,7.45,AT43
CHIEF,0.6,AT43
IMPULSE,0.8,AT43
MACCHI,1.8,AT43
PICO,1.15,AT43
THORPE,0.6,AT43
S10S,0.9,AT43
AN3,5.7,AT43
CESSNA,1.21,AT43
PIAGGO,1.76,AT43
H64,7.9,AT43
LAMBERT,1.2,AT43
ZLIN,1.13,AT43
AS50,2.25,AT43
SAAB,1.15,AT43
TECNAM,1.06,AT43
TLEG,1.5,AT43
TAIFUN,0.9,AT43
RQ4,11.6,AT43
REMOS,0.6,AT43
EH10,13.32,AT43
LAKE,1.25,AT43
SWEIZER,1.15,AT43
WASSMER,1.1,AT43
DYNAERO,0.8,AT43
PULSAR,0.5,AT43
SOCATA,1.26,AT43
EC75,7.5,AT43
PIPER,1.25,AT43
PUTZER,0.7,AT43
SHIP,1.9,AT43
BUCKER,0.7,AT43
MGAT,7.0,AT43
SCHEIBE,0.67,AT43
BELL,1.49,AT43
MI24,11.45,AT43
WESX,5.5,AT43
SYCA,2.5,AT43
B412,5.38,AT43
G2CA,0.7,AT43
AERO,0.6,AT43
LAMA,1.98,AT43
BELLANC,1.38,AT43
L10,4.8,AT43
T334,46.0,E190
EC35,2.87,AT43
S61,9.63,AT43
SIAI,1.24,AT43
PARTENA,1.1,AT43
RS80,1.1,AT43
EC55,4.87,AT43
GIPPSLD,1.82,AT43
ULAC,0.43,AT43
VENT,0.6,AT43
JABIRU,0.6,AT43
NOREC,1.1,AT43
INTERAV,1.0,AT43
MD60,1.9,AT43
STINSON,0.9,AT43
MESS,1.1,AT43
H900,1.1,AT43
IKARUS,0.5,AT43
PZL,1.29,AT43
KA27,11.25,AT43
BD4,1.1,AT43
DH82A,0.8,AT43
AS16,0.7,AT43
HUGHES,1.43,AT43
VL3,0.5,AT43
H53,33.3,DH8D
MOONEY,1.3,AT43
IR46,0.8,AT43
NAVION,1.37,AT43
M-20,1.97,AT43
BASS,3.23,AT43
BEECH,1.64,AT43
BALL,0.99,AT43
S92,12.52,AT43
EC45,3.65,AT43
SKYC,1.9,AT43
AAT3,0.6,AT43
BRANDLY,0.6,AT43
TECHNIK,0.7,AT43
A129,4.1,AT43
A189,8.3,AT43
COLIBRI,1.7,AT43
RUSCHMR,1.29,AT43
ZODIAC,0.6,AT43
LUSCOMB,0.65,AT43
BROU,2.7,AT43
METR,7.1,AT43
ARV1,0.5,AT43
CHAIKA,1.35,AT43
MA60,21.8,AT76
AP22,0.5,AT43
H47,22.26,AT76
POTTIER,0.5,AT43
M326,3.8,AT43
MI2,3.59,AT43
GRUMMAN,1.18,AT43
FC1,12.7,AT43
GOUMURA,0.8,AT43
MUDRY,1.05,AT43
A149,8.1,AT43
B430,4.24,AT43
FFA,1.0,AT43
KA26,3.3,AT43
B407,2.36,AT43
H269,0.92,AT43
CP30,0.6,AT43
CTAH,0.6,AT43
RQ4B,14.6,AT43
SILA,0.5,AT43
GENAVIA,0.8,AT43
S64,20.2,AT76
RAV5,1.6,AT43
B105,2.49,AT43
HB23,0.8,AT43
WACO,1.33,AT43
BOELKOW,0.8,AT43
A169,4.64,AT43
EUROPA,0.6,AT43
NIPPER,0.3,AT43
MQ9A,4.7,AT43
MQ1B,1.0,AT43
VELOCTY,1.08,AT43
W3,6.4,AT43
TIGR,6.1,AT43
RALLYE,0.9,AT43
P19,0.7,AT43
CAUDRON,1.0,AT43
B06T,1.85,AT43
V10,5.7,AT43
H160,6.0,AT43
B429,3.2,AT43
FA24,1.2,AT43
B212,5.12,AT43
YK11,2.5,AT43
BK17,3.38,AT43
COYOTE,0.5,AT43
B230,3.8,AT43
SCLACRO,1.1,AT43
BEAGLE,1.1,AT43
MI14,14.0,AT43
FURNIER,0.85,AT43
ZIVKO,0.9,AT43
ME09,2.5,AT43
SPIT,3.64,AT43
CAPELLA,0.6,AT43
ENSTROM,1.24,AT43
H46,10.4,AT43
HURI,3.6,AT43
CP13,0.7,AT43
LANCAIR,1.25,AT43
FOUG,3.3,AT43
Z37P,1.9,AT43
NOTAR,1.5,AT43
MAULE,1.09,AT43
UH1,4.31,AT43
EC25,10.93,AT43
YAK,1.47,AT43
S2R,2.7,AT43
ROBINSO,0.97,AT43
H2,3.9,AT43
