,0,1,2,3,4,5,6,7,8,9
107,60961,35515.0,,,,,,,,
108,35544,39728.0,46816.0,,,,,,,
109,36773,35558.0,66086.0,46250.0,61168.0,53557.0,,,,
110,35560,45035.0,38579.0,62548.0,53267.0,65782.0,,,,
111,52112,46529.0,58025.0,35563.0,,,,,,
112,53129,35564.0,39282.0,60245.0,66870.0,,,,,
113,63073,39491.0,35565.0,58000.0,49046.0,67100.0,,,,
114,60034,37989.0,35566.0,64143.0,52691.0,44823.0,,,,
115,49824,43630.0,59282.0,35604.0,39959.0,,,,,
116,43041,66505.0,50468.0,35605.0,,,,,,
117,55776,64779.0,48109.0,67343.0,60241.0,40596.0,35608.0,,,
118,35609,52356.0,,,,,,,,
119,35619,67389.0,,,,,,,,
120,59587,35625.0,53744.0,48530.0,39703.0,66459.0,,,,
121,36736,65864.0,35626.0,62283.0,45517.0,53554.0,41403.0,57564.0,,
122,57443,35786.0,47147.0,66934.0,,,,,,
123,57345,61156.0,43206.0,47148.0,35822.0,64415.0,,,,
124,52249,35859.0,62284.0,41406.0,,,,,,
125,58752,63490.0,46380.0,35860.0,37306.0,52349.0,67231.0,,,
126,57122,37865.0,42261.0,35861.0,47158.0,,,,,
127,66800,35865.0,51074.0,59284.0,,,,,,
128,35910,51471.0,46063.0,42098.0,59453.0,,,,,
129,39494,64262.0,48106.0,35960.0,57691.0,,,,,
130,41153,53860.0,45066.0,58318.0,67057.0,35961.0,63228.0,,,
131,55778,36098.0,,,,,,,,
132,36122,53131.0,46062.0,61463.0,,,,,,
133,46528,67084.0,40973.0,57563.0,52111.0,63347.0,65942.0,36123.0,,
134,60033,47910.0,44040.0,64268.0,55223.0,38581.0,36183.0,51071.0,,
135,48229,53746.0,61460.0,37846.0,42262.0,36184.0,,,,
136,52801,36195.0,64999.0,45512.0,67144.0,39609.0,60827.0,,,
137,66874,36221.0,,,,,,,,
138,41152,36225.0,47593.0,56812.0,65676.0,60825.0,,,,
139,61769,44043.0,49042.0,53561.0,36285.0,,,,,
140,65242,47690.0,39493.0,36286.0,,,,,,
141,53734,46696.0,66089.0,60953.0,39164.0,36287.0,,,,
142,36288,66764.0,61166.0,49168.0,40854.0,57562.0,,,,
143,36289,52354.0,57862.0,46377.0,66898.0,41405.0,,,,
144,36291,45515.0,39280.0,57692.0,51358.0,,,,,
145,49827,40965.0,45039.0,67250.0,58137.0,36380.0,,,,
146,52800,65571.0,47145.0,38572.0,58349.0,42104.0,36381.0,,,
147,48843,65675.0,45038.0,39281.0,53553.0,62546.0,57368.0,36382.0,,
148,42720,58317.0,66322.0,62549.0,36409.0,38874.0,54204.0,47422.0,,
149,47270,66088.0,60242.0,36410.0,52347.0,,,,,
150,66975,36415.0,,,,,,,,
151,36416,61329.0,,,,,,,,
152,46249,63209.0,66317.0,57102.0,50460.0,42718.0,36447.0,,,
153,36485,49485.0,39279.0,45040.0,64414.0,59285.0,66552.0,54526.0,,
154,40578,61092.0,57530.0,36489.0,43019.0,52250.0,47582.0,,,
155,59288,66939.0,36492.0,62686.0,,,,,,
156,36548,52939.0,44045.0,61464.0,39611.0,,,,,
157,57864,48841.0,39956.0,36549.0,,,,,,
158,61282,57827.0,36553.0,50030.0,44819.0,53239.0,40476.0,,,
