,nid,flight_id,flt_num,ifps_id,callsign,airline,airline_type,origin,destination,gcdistance,long_short_dist,sobt,sibt,aircraft_type,mtow,wk_tbl_cat,registration,max_seats,pax_assigned_cc,ecac_200,exclude,prev_flight_nid,source,mandatory,aircraft_id
672,50944,180212963,THY_LTALLTBA01,AA34945684,THY1BY,THY,FSC,LTAL,LTBA,226,D,2014-09-12 11:35:00,2014-09-12 12:35:00,A320,74,M,TCJPK,133,122,arr,0,47271.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN208
673,51071,180213090,THY_LTBALTFE05,AA34941833,THY3PH,THY,FSC,LTBA,LTFE,230,D,2014-09-12 11:40:00,2014-09-12 12:31:00,B738,75,M,TCJFU,151,165,both,0,47910.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN135
674,51074,180213093,THY_LTBALFLL02,AA34941876,THY7VC,THY,FSC,LTBA,LFLL,1071,D,2014-09-12 11:40:00,2014-09-12 15:00:00,A332,230,H,TCJIP,224,184,both,0,35865.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN128
675,51075,180213094,THY_LTBAEHAM03,AA34941875,THY9TC,THY,FSC,LTBA,EHAM,1195,D,2014-09-12 11:40:00,2014-09-12 15:15:00,A321,87,M,TCJRM,168,169,both,0,43777.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN066
676,51101,180213120,THY_LTFJLTAI03,AA34948942,THY2JU,THY,FSC,LTFJ,LTAI,250,D,2014-09-12 11:40:00,2014-09-12 12:28:00,B738,75,M,TCJHA,151,165,both,0,47997.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,0,CSN178
677,51201,180213220,THY_LTACLTAI04,AA34940788,THY85W,THY,FSC,LTAC,LTAI,220,D,2014-09-12 11:45:00,2014-09-12 12:32:00,B738,75,M,TCSAV,151,131,both,0,47388.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,0,CSN216
678,51350,180213369,THY_LTCRLTFJ01,AA34941133,THY2GR,THY,FSC,LTCR,LTFJ,572,D,2014-09-12 11:50:00,2014-09-12 13:27:00,B738,75,M,TCSBZ,151,145,arr,0,47000.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN214
679,51358,180213377,THY_LIRNLTBA01,AA34942219,THY9QT,THY,FSC,LIRN,LTBA,659,D,2014-09-12 11:50:00,2014-09-12 14:05:00,B738,75,M,TCJGR,151,147,both,0,45515.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN145
680,51359,180213378,THY_LTBALIMF01,AA34942220,THY5YJ,THY,FSC,LTBA,LIMF,960,D,2014-09-12 11:50:00,2014-09-12 14:55:00,A320,74,M,TCJLK,133,136,both,0,44207.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN104
681,51360,180213379,THY_LTBAEDDV02,AA34942225,THY58K,THY,FSC,LTBA,EDDV,1042,D,2014-09-12 11:50:00,2014-09-12 15:00:00,A321,87,M,TCJSE,168,174,both,0,45809.0,12SEP14_FLIGHTS_V5.csv_merged_flight_itineraries_assigment_db,1,CSN084
