,0
0,486.3
1,162.6
2,96.5
3,65.5
4,74.7
5,147.8
6,427.4
7,468.0
8,405.8
9,429.0
10,201.8
11,473.5
12,115.7
13,403.4
14,127.3
15,61.3
16,486.3
17,326.6
18,117.3
19,110.3
20,131.4
21,450.1
22,47.1
23,86.5
24,53.5
25,137.6
26,127.3
27,194.1
28,79.5
29,92.5
30,87.0
31,100.7
32,110.9
33,49.7
34,35.1
35,59.9
36,19.8
37,38.6
38,25.0
39,23.0
40,26.2
41,45.5
42,25.6
43,19.6
44,50.4
45,66.5
46,68.7
47,33.5
48,134.3
49,17.9
50,37.7
51,72.9
52,49.5
53,29.5
54,56.0
55,56.8
56,44.0
57,56.5
58,435.2
59,26.3
60,41.2
61,159.4
62,36.2
63,120.9
64,107.7
65,32.9
66,29.1
67,35.8
68,33.7
69,85.0
70,24.7
71,146.7
72,104.2
73,117.1
74,57.0
75,434.2
76,67.3
77,26.7
78,91.9
79,145.5
80,67.6
81,142.1
82,76.9
83,103.3
84,119.4
85,108.6
86,74.8
87,119.5
88,95.1
89,110.1
90,154.5
91,135.9
92,94.1
93,94.0
94,122.1
95,95.2
96,107.4
97,97.1
98,90.2
99,133.0
100,90.5
101,80.0
102,120.6
103,141.2
104,117.1
105,107.1
106,118.7
107,62.5
108,99.4
109,82.0
110,108.2
111,55.7
112,69.0
113,28.8
114,570.2
115,32.5
116,51.5
117,44.7
118,157.1
119,65.6
120,48.9
121,43.1
122,178.8
123,90.4
124,134.1
125,113.3
126,122.5
127,117.7
128,108.9
129,105.7
130,97.7
131,109.4
132,65.9
133,174.2
134,92.9
135,119.7
136,79.1
137,74.6
138,69.9
139,20.1
140,141.8
141,22.6
142,43.7
143,596.4
144,14.3
145,74.1
146,91.9
147,554.6
148,57.8
149,419.0
150,454.8
151,476.4
152,49.6
153,282.4
154,417.0
155,96.0
156,65.0
157,65.4
158,266.2
159,251.7
160,59.5
161,123.7
162,60.7
163,247.8
164,216.3
165,242.6
166,270.7
167,258.1
168,322.1
169,258.2
170,185.1
171,293.3
172,260.4
173,199.5
174,181.1
175,246.5
176,225.8
177,198.0
178,163.1
179,214.0
180,213.9
181,139.7
182,212.3
183,286.6
184,153.8
185,135.8
186,146.8
187,134.8
188,12.7
189,119.2
190,95.7
191,30.5
192,181.6
193,155.7
194,84.2
195,76.5
196,82.4
197,135.0
198,51.7
199,382.4
200,60.6
201,60.6
202,267.5
203,77.2
204,82.8
205,434.0
206,473.5
207,434.0
208,429.0
209,427.4
210,450.1
211,434.2
212,468.0
213,382.4
214,405.8
215,403.4
216,435.2
217,282.4
218,216.3
219,145.0
220,107.4
221,116.2
222,145.0
223,38.6
224,36.5
225,21.7
226,266.2
227,287.5
228,127.6
229,117.1
230,119.1
231,127.6
232,162.6
233,96.5
234,135.9
235,65.5
236,74.7
237,147.8
238,84.3
239,72.9
240,70.7
241,71.7
242,84.3
243,17.9
244,18.6
245,29.4
246,114.6
247,247.8
248,201.8
249,115.7
250,127.3
251,146.7
252,119.5
253,121.4
254,61.3
255,59.8
256,61.6
257,87.0
258,17.5
259,31.3
260,36.5
261,47.5
262,45.0
263,123.0
264,25.0
265,23.2
266,25.3
267,18.6
268,23.1
269,53.7
270,32.9
271,66.4
272,48.1
273,51.8
274,54.5
275,63.1
276,136.4
277,121.4
278,102.7
279,57.2
280,119.1
281,62.8
282,112.1
283,94.2
284,35.4
285,95.9
286,69.6
287,13.2
288,42.6
289,70.7
290,108.0
291,115.2
292,87.3
293,61.6
294,326.6
295,117.3
296,115.2
297,110.3
298,116.4
299,108.0
300,131.4
301,192.2
302,26.2
303,22.0
304,115.5
305,25.0
306,137.2
307,134.5
308,147.9
309,137.7
310,47.1
311,45.0
312,28.5
313,199.5
314,86.5
315,163.1
316,53.5
317,119.4
318,137.6
319,107.7
320,134.8
321,137.7
322,113.3
323,135.8
324,258.1
325,153.8
326,119.2
327,127.3
328,90.5
329,56.0
330,36.2
331,53.7
332,235.2
333,194.1
334,322.1
335,79.5
336,204.1
337,122.1
338,92.5
339,115.5
340,94.0
341,94.5
342,49.7
343,128.2
344,137.1
345,47.5
346,31.4
347,90.7
348,260.4
349,213.9
350,51.7
351,94.1
352,95.9
353,110.1
354,95.1
355,113.7
356,225.2
357,246.5
358,293.3
359,76.5
360,63.7
361,123.7
362,212.3
363,87.0
364,84.2
365,60.6
366,82.4
367,117.5
368,33.5
369,31.3
370,85.0
371,87.0
372,90.1
373,25.6
374,25.3
375,28.5
376,554.6
377,66.5
378,276.9
379,100.7
380,102.7
381,94.4
382,35.1
383,17.6
384,32.9
385,67.6
386,69.6
387,99.4
388,189.8
389,19.8
390,17.5
391,29.4
392,36.2
393,37.6
394,31.4
395,30.3
396,22.0
397,21.7
398,23.9
399,17.6
400,46.3
401,49.1
402,41.0
403,39.9
404,40.1
405,29.4
406,28.5
407,30.2
408,30.2
409,28.5
410,23.2
411,94.5
412,46.3
413,50.0
414,45.6
415,32.0
416,30.7
417,118.7
418,25.8
419,27.4
420,24.2
421,265.5
422,596.4
423,110.9
424,246.8
425,132.3
426,286.6
427,139.7
428,44.7
429,27.4
430,42.6
431,443.2
432,179.6
433,25.0
434,23.1
435,19.6
436,59.9
437,40.1
438,30.5
439,23.0
440,23.2
441,30.3
442,24.7
443,181.6
444,476.4
445,25.8
446,45.5
447,454.8
448,30.7
449,50.4
450,48.1
451,68.7
452,49.1
453,66.4
454,24.2
455,43.1
456,419.0
457,120.6
458,134.3
459,136.4
460,37.7
461,35.4
462,49.5
463,51.8
464,120.9
465,123.0
466,29.5
467,56.8
468,37.6
469,54.5
470,44.0
471,56.5
472,26.3
473,41.2
474,159.4
475,36.2
476,91.9
477,94.2
478,32.9
479,29.1
480,35.8
481,33.7
482,104.2
483,57.0
484,67.3
485,26.7
486,145.5
487,103.3
488,74.8
489,142.1
490,76.9
491,108.6
492,134.5
493,110.1
494,112.1
495,154.5
496,95.2
497,97.1
498,90.2
499,133.0
500,80.0
501,24.3
502,141.2
503,117.1
504,23.9
505,107.1
506,118.7
507,46.3
508,62.8
509,65.0
510,62.5
511,41.0
512,60.7
513,39.9
514,57.2
515,59.5
516,570.2
517,99.4
518,82.0
519,108.2
520,55.7
521,69.0
522,50.0
523,28.8
524,32.5
525,23.2
526,51.5
527,32.0
528,157.1
529,65.6
530,46.3
531,48.9
532,29.4
533,178.8
534,90.4
535,137.2
536,134.1
537,122.5
538,8.5
539,108.9
540,105.7
541,63.1
542,45.6
543,65.4
544,97.7
545,109.4
546,65.9
547,174.2
548,92.9
549,119.7
550,79.1
551,30.2
552,30.2
553,49.6
554,74.6
555,69.9
556,20.1
557,141.8
558,22.6
559,43.7
560,7.4
561,74.1
562,91.9
563,57.8
564,192.4
565,24.3
566,20.4
567,96.0
568,13.2
569,121.5
570,147.9
571,181.1
572,146.8
573,12.7
574,648.9
575,582.8
576,551.8
577,892.1
578,688.1
579,613.6
580,547.6
581,603.6
582,596.6
583,617.7
584,587.0
585,536.0
586,521.4
587,546.2
588,506.1
589,524.9
590,511.3
591,509.3
592,512.5
593,531.8
594,511.90000000000003
595,505.90000000000003
596,536.7
597,552.8
598,555.0
599,519.8
600,620.6
601,504.2
602,524.0
603,559.2
604,535.8
605,515.8
606,542.3
607,543.1
608,530.3
609,542.8
610,921.5
611,512.6
612,527.5
613,645.7
614,522.5
615,607.2
616,594.0
617,519.2
618,515.4
619,522.1
620,520.0
621,571.3
622,511.0
623,633.0
624,590.5
625,603.4
626,543.3
627,553.6
628,513.0
629,578.2
630,553.9
631,589.6
632,594.9
633,605.8
634,581.4
635,622.2
636,580.4
637,581.5
638,593.7
639,606.9
640,518.8
641,671.4
642,779.6
643,746.7
644,685.8
645,667.4
646,732.8
647,712.1
648,684.3
649,649.4
650,700.3
651,700.2
652,626.0
653,698.6
654,772.9000000000001
655,232.5
656,226.7
657,218.3
658,92.1
659,75.6
660,203.4
661,97.2
662,81.1
663,140.4
664,68.0
665,37.3
666,49.2
667,56.0
668,57.400000000000006
669,51.2
670,50.1
671,41.8
672,41.5
673,43.7
674,37.400000000000006
675,66.1
676,68.9
677,60.8
678,59.7
679,59.900000000000006
680,49.2
681,48.3
682,50.0
683,50.0
684,48.3
685,43.0
686,114.3
687,66.1
688,69.8
689,65.4
690,51.8
691,50.5
692,138.5
693,45.6
694,47.2
695,44.0
696,75.1
697,60.3
698,46.2
699,53.3
700,48.2
701,141.7
702,51.2
703,163.39999999999998
704,160.7
705,174.1
706,163.89999999999998
707,50.900000000000006
708,54.1
709,117.80000000000001
710,64.8
711,270.70000000000005
712,36.5
713,47.3
714,92.2
715,109.7
716,243.9
717,175.1
718,244.7
719,236.2
720,186.10000000000002
721,167.0
722,240.9
723,208.8
724,222.2
725,190.0
726,204.2
727,209.5
728,188.5
729,223.60000000000002
730,165.5
731,87.30000000000001
732,78.3
733,126.2
734,534.8
735,520.6
736,574.2
737,493.3
738,512.1
739,498.5
740,496.5
741,499.7
742,519.0
743,499.1
744,493.1
745,523.9
746,540.0
747,542.2
748,507.0
749,607.8
750,491.4
751,511.2
752,546.4
753,523.0
754,503.0
755,529.5
756,530.3
757,517.5
758,530.0
759,908.7
760,499.8
761,514.7
762,632.9
763,509.7
764,594.4
765,581.2
766,506.4
767,502.6
768,509.3
769,507.2
770,558.5
771,498.2
772,620.2
773,577.7
774,590.6
775,530.5
776,907.7
777,540.8
778,500.2
779,565.4
780,619.0
781,541.1
782,615.6
783,550.4
784,576.8
785,592.9
786,582.1
787,548.3
788,593.0
789,568.6
790,583.6
791,628.0
792,609.4
793,567.6
794,567.5
795,595.6
796,568.7
797,580.9
798,570.6
799,563.7
800,495.3
801,534.7
802,483.7
803,453.8
804,472.6
805,459.0
806,457.0
807,460.2
808,479.5
809,459.6
810,453.6
811,484.4
812,500.5
813,502.7
814,467.5
815,568.3
816,451.9
817,471.7
818,506.9
819,483.5
820,463.5
821,490.0
822,490.8
823,478.0
824,490.5
825,869.2
826,460.3
827,475.2
828,593.4
829,470.2
830,554.9
831,541.7
832,466.9
833,463.1
834,469.8
835,467.7
836,519.0
837,458.7
838,580.7
839,538.2
840,551.1
841,491.0
842,868.2
843,501.3
844,460.7
845,525.9
846,579.5
847,501.6
848,576.1
849,510.9
850,537.3
851,553.4
852,542.6
853,508.8
854,553.5
855,529.1
856,544.1
857,588.5
858,569.9
859,591.6
860,525.5
861,494.5
862,834.8
863,630.8
864,556.3
865,490.3
866,546.3
867,539.3
868,560.4
869,476.1
870,529.7
871,478.7
872,464.1
873,448.8
874,467.6
875,452.0
876,455.2
877,474.5
878,454.6
879,448.6
880,479.4
881,495.5
882,497.7
883,462.5
884,563.3
885,446.9
886,466.7
887,501.9
888,478.5
889,458.5
890,485.0
891,485.8
892,473.0
893,485.5
894,864.2
895,455.3
896,470.2
897,588.4
898,465.2
899,549.9
900,536.7
901,461.9
902,458.1
903,464.8
904,462.7
905,514.0
906,453.7
907,575.7
908,533.2
909,546.1
910,486.0
911,863.2
912,496.3
913,455.7
914,520.9
915,574.5
916,496.6
917,571.1
918,505.9
919,532.3
920,548.4
921,537.6
922,503.8
923,548.5
924,524.1
925,539.1
926,583.5
927,564.9
928,523.1
929,523.0
930,551.1
931,524.2
932,536.4
933,526.1
934,519.2
935,562.0
936,519.5
937,509.0
938,549.6
939,570.2
940,546.1
941,461.5
942,614.1
943,722.3
944,689.4
945,628.5
946,610.1
947,675.5
948,654.8
949,627.0
950,592.1
951,643.0
952,642.9
953,568.7
954,641.3
955,715.6
956,488.7
957,474.5
958,528.1
959,447.2
960,452.4
961,450.4
962,453.59999999999997
963,472.9
964,453.0
965,447.0
966,477.79999999999995
967,493.9
968,496.09999999999997
969,460.9
970,561.7
971,445.29999999999995
972,465.09999999999997
973,500.29999999999995
974,476.9
975,456.9
976,483.4
977,484.2
978,471.4
979,483.9
980,862.5999999999999
981,453.7
982,468.59999999999997
983,586.8
984,463.59999999999997
985,548.3
986,535.1
987,460.29999999999995
988,456.5
989,463.2
990,461.09999999999997
991,512.4
992,452.09999999999997
